Longitude,Latitude,Housing Median Age,Total Rooms,Total Bedrooms,Population,Number Households,Median Income,Label
-121.97,37.97,24,1330,183,656,205,50092,1
-121.97,37.96,28,1433,290,877,313,47891,0
-121.96,37.96,28,1838,273,899,270,52145,1
-121.96,37.95,7,3418,740,1583,676,36133,0
-121.98,37.96,22,2987,,1420,540,36500,1
-121.97,37.97,26,1977,264,817,273,57512,1
-121.98,37.97,26,2714,390,1232,409,59617,1
-121.98,37.97,26,2738,428,1316,430,52442,1
-121.99,37.97,22,2823,509,1271,474,51333,1
-121.99,37.97,30,3320,589,1470,543,46071,0
-122,37.96,32,3364,666,1980,678,37000,0
-122,37.96,28,4071,713,2033,647,45833,0
-121.96,37.95,13,3216,765,1627,715,30859,0
-121.97,37.95,8,4253,709,1883,662,54310,1
-121.98,37.96,12,5048,1122,2209,1014,31573,0
-121.99,37.96,16,3324,479,1470,461,76166,1
-121.99,37.96,17,2756,423,1228,426,55872,1
-121.98,37.95,14,6290,854,2724,820,67371,1
-121.98,37.95,16,2984,406,1317,397,67821,1
-122.01,37.97,34,3259,498,1250,478,53794,1
-122.02,37.97,36,2342,436,1191,416,40000,0
-122.03,37.97,45,1613,338,865,336,32500,0
-122.04,37.97,26,2470,626,1174,573,29861,0
-122.03,37.97,20,3968,931,2629,903,29915,0
-122.04,37.96,16,2913,723,1705,693,29097,0
-122.04,37.97,21,6445,1839,3621,1735,25841,0
-122.04,37.97,39,1323,245,705,261,31968,0
-122.04,37.96,20,1143,346,578,298,22411,0
-122.05,37.96,35,2190,384,1154,401,38456,0
-122.04,37.96,28,1207,252,724,252,36964,0
-122.04,37.96,27,2587,729,1500,623,18370,0
-122.05,37.95,27,3513,791,1875,694,31838,0
-122.05,37.95,20,563,107,246,123,54482,0
-122.01,37.95,8,3866,539,1555,513,60901,1
-122.02,37.96,25,2615,368,935,366,66727,1
-122.03,37.96,20,2636,691,1142,627,21083,0
-122.03,37.95,14,3287,793,1601,716,31719,1
-122.02,37.95,25,1205,260,608,272,24519,1
-122.03,37.95,32,1955,313,804,317,49485,1
-122.02,37.95,22,3526,510,1660,508,56642,1
-122.02,37.94,23,3516,661,1465,623,42569,1
-122.01,37.94,23,3741,,1339,499,67061,1
-122.02,37.94,19,3192,612,1317,594,41250,1
-122.01,37.94,26,1619,224,706,220,60704,1
-122.01,37.94,18,2077,298,937,292,63809,1
-122,37.95,9,2214,256,848,239,68145,1
-122.01,37.93,25,2652,335,1062,334,75898,1
-122.04,37.95,33,1653,334,814,328,31406,0
-122.04,37.94,24,5732,873,2444,888,56292,1
-122.05,37.94,22,2105,354,993,365,46602,1
-122.04,37.95,29,866,138,341,133,47188,0
-122.05,37.95,22,5175,1213,2804,1091,28500,0
-122.03,37.94,21,5541,776,2214,737,55777,1
-122.03,37.93,21,4712,624,1773,615,60918,1
-122.05,37.93,5,4274,1153,1503,881,40473,1
-122.05,37.93,15,7803,1603,2957,1546,44500,0
-122.05,37.92,14,12713,2558,4741,2412,47094,1
-122.02,37.92,26,5077,640,1872,636,74713,1
-122.03,37.92,23,3318,408,1124,393,65847,1
-122.01,37.91,21,10093,1269,3645,1219,76877,1
-122.03,37.91,29,5438,871,2310,890,50362,1
-122.06,37.91,15,5393,1422,2133,1288,41612,1
-122.06,37.9,25,5869,1685,2669,1554,26998,1
-122.06,37.89,21,4985,1590,2575,1458,31002,0
-122.07,37.93,45,1544,244,614,238,50255,1
-122.07,37.93,25,7201,1521,3264,1433,37433,1
-122.07,37.92,26,3872,739,1629,684,44312,1
-122.08,37.92,28,2377,469,1068,435,44561,1
-122.08,37.92,26,1733,265,796,274,61950,1
-122.07,37.91,28,1731,295,810,295,50391,1
-122.07,37.91,33,1550,277,638,254,36833,1
-122.08,37.9,32,1075,170,486,173,50499,1
-122.09,37.91,18,9576,1455,3486,1380,70895,1
-122.07,37.89,28,3410,746,1428,670,43864,1
-122.08,37.89,39,3018,501,1223,489,62924,1
-122.08,37.9,29,4133,770,1691,744,51097,1
-122.07,37.89,38,2139,343,809,340,55636,1
-122.07,37.89,38,757,124,319,123,56558,1
-122.06,37.88,34,4781,703,1879,714,65378,1
-122.05,37.87,30,2296,329,847,322,67192,1
-122.05,37.9,24,4125,1020,1699,873,29526,1
-122.05,37.9,32,2676,484,986,473,46528,1
-122.05,37.89,37,1677,269,689,283,42625,1
-122.04,37.89,33,2423,322,998,346,75349,1
-122.05,37.9,32,4498,862,1818,851,48088,1
-122.04,37.9,20,5467,1044,2310,963,56986,1
-122.02,37.89,29,6349,858,2450,778,75000,1
-122.04,37.88,32,3250,550,1230,557,46424,1
-122.03,37.86,29,3025,477,1035,452,61120,1
-122.04,37.85,27,6039,780,2181,761,95862,1
-121.94,37.73,22,1980,291,861,290,62726,1
-121.94,37.73,22,6719,1068,2843,994,61265,1
-121.93,37.73,23,2564,347,1043,351,62048,1
-121.93,37.73,8,831,231,404,224,33750,1
-121.95,37.74,19,1127,170,518,167,63325,1
-121.95,37.74,19,5721,837,2653,813,62631,1
-121.94,37.75,17,2559,370,1238,377,62781,1
-121.92,37.73,24,1407,327,501,295,24821,0
-121.93,37.74,16,3326,419,1272,402,68806,1
-121.94,37.75,16,5121,735,2464,761,66204,1
-121.97,37.79,17,5688,824,2111,773,66131,1
-121.98,37.8,17,3354,422,1457,425,76473,1
-121.98,37.8,16,2498,330,1027,343,81550,1
-121.98,37.81,18,2903,387,1127,372,55921,1
-121.96,37.81,12,6488,778,2404,765,83188,1
-121.97,37.8,17,3279,418,1222,381,79168,1
-121.94,37.8,8,11336,1657,4089,1555,78287,1
-121.97,37.79,16,3873,484,1451,501,67857,1
-121.95,37.78,4,14652,2826,5613,2579,63942,1
-121.96,37.76,8,3865,463,1548,432,97037,1
-121.94,37.76,4,6875,1439,2889,1307,46932,1
-121.93,37.76,5,2255,269,876,258,103345,1
-121.92,37.74,8,452,51,140,43,125915,1
-121.93,37.78,2,227,35,114,49,31591,1
-121.96,37.74,2,200,20,25,9,150001,1
-121.97,37.76,8,3743,581,1633,567,67027,1
-121.97,37.77,13,7241,1007,3221,947,72216,1
-121.98,37.74,8,2865,389,1376,417,79393,1
-122.02,37.84,34,1879,265,729,263,77072,1
-122.01,37.83,30,3917,549,1330,544,65617,1
-122,37.82,20,2206,458,926,432,46042,1
-121.99,37.82,22,1248,271,579,269,33750,0
-122.03,37.83,24,5948,738,1997,710,98708,1
-121.99,37.77,14,8213,1364,3283,1286,51755,1
-121.99,37.81,17,465,83,146,75,49018,0
-122.02,37.8,11,6200,907,2286,896,76518,1
-122.03,37.87,21,3521,447,1396,467,82673,1
-122.02,37.88,16,3031,438,1087,421,73732,1
-122.02,37.87,14,3056,369,1209,377,84352,1
-122.03,37.86,25,3004,393,1145,376,72655,1
-122,37.86,18,8953,1074,3011,993,107372,1
-121.97,37.87,4,1029,126,416,122,134883,1
-121.96,37.84,29,7479,977,2744,943,75139,1
-122,37.84,16,7681,946,2777,908,95271,1
-121.96,37.85,10,3209,379,1199,392,122478,1
-121.99,37.83,16,2939,380,1177,396,80839,1
-121.98,37.82,18,9117,1248,3280,1167,80030,1
-121.95,37.81,5,7178,898,2823,907,90776,1
-122.1,37.93,20,10212,1424,4083,1374,80390,1
-122.12,37.94,22,4949,626,1850,590,104549,1
-122.1,37.9,38,827,144,368,136,65095,1
-122.14,37.9,32,5738,746,2099,732,103224,1
-122.12,37.91,34,5683,755,1962,723,83678,1
-122.09,37.89,35,880,139,352,132,68686,1
-122.1,37.89,21,3282,653,1398,601,52079,1
-122.11,37.89,32,2372,516,1067,492,43235,1
-122.11,37.88,37,4005,614,1602,606,64666,1
-122.12,37.88,35,2785,362,1001,363,80448,1
-122.12,37.89,30,3227,733,1260,684,41250,1
-122.13,37.89,27,744,214,295,169,27411,1
-122.13,37.87,18,1820,220,728,229,103713,1
-122.14,37.88,34,6986,1096,2865,1124,62275,1
-122.07,37.88,11,1077,318,590,264,35536,1
-122.08,37.88,24,2059,462,410,294,23971,0
-122.08,37.88,26,2947,,825,626,29330,0
-122.08,37.87,24,6130,1359,1750,1286,29167,0
-122.06,37.85,17,7475,1556,2092,1449,36437,0
-122.07,37.86,23,1025,205,263,191,31200,0
-122.06,37.86,16,5187,1014,1512,986,44551,1
-122.07,37.86,17,1102,224,317,208,35893,1
-122.08,37.87,26,2405,564,680,531,24896,0
-122.1,37.88,35,3701,528,1511,517,72315,1
-122.09,37.86,27,5484,760,2212,770,76202,1
-122.11,37.87,33,3398,500,1351,457,65814,1
-122.12,37.85,18,5252,686,1870,657,80074,1
-122.08,37.84,17,1320,159,1722,141,117064,1
-122.12,37.81,26,4048,513,1486,498,76717,1
-122.12,37.82,26,2269,317,918,313,66657,1
-122.11,37.83,19,5130,741,1887,712,72030,1
-122.08,37.82,4,2045,237,830,252,113421,1
-122.14,37.86,20,6201,1182,2415,1141,45744,1
-122.14,37.85,27,9147,1276,3371,1269,73267,1
-122.14,37.84,24,2131,343,874,373,56349,1
-122.16,37.83,16,4596,705,1480,650,75200,1
-122.16,37.86,36,3359,493,1298,483,81586,1
-122.18,37.88,36,542,119,231,121,49000,1
-122.18,37.86,33,4449,636,1684,617,89571,1
-122.16,37.89,32,1779,241,721,258,87589,1
-122.17,37.88,32,3633,508,1393,506,76917,1
-122.17,37.88,33,3626,502,1348,480,76107,1
-122.17,37.87,38,1261,177,472,183,69170,1
-122.22,37.88,20,95,13,31,15,24444,1
-122.2,37.89,37,3881,560,1315,517,73195,1
-122.2,37.88,36,1065,160,398,155,77736,1
-122.18,37.91,31,7200,876,2428,843,109405,1
-122.2,37.9,36,2107,287,740,280,103416,1
-122.18,37.9,36,4760,610,1511,572,90064,1
-122.18,37.89,18,4845,735,1634,734,81489,1
-121.84,37.98,8,7505,1089,3325,1016,52699,1
-121.81,37.97,8,1584,236,615,202,64753,0
-121.78,37.97,4,17032,2546,7653,2359,55601,1
-121.83,37.95,17,1133,244,716,235,28750,0
-121.94,37.83,11,2836,373,959,335,105815,1
-121.89,37.82,4,11444,1355,3898,1257,132949,1
-121.91,37.81,7,3477,416,1216,395,131499,1
-121.82,37.81,12,4711,659,2089,621,83209,1
-121.96,37.99,2,3129,707,1606,698,29591,1
-121.96,37.94,26,3084,505,1557,501,51582,0
-121.96,37.95,25,4026,791,1850,709,41483,0
-121.95,37.94,21,3153,411,1318,431,68642,1
-121.97,37.93,4,3241,464,1552,494,66134,1
-122.01,37.92,18,2808,337,1038,337,83956,1
-122.01,37.92,16,2638,345,1055,334,81163,1
-121.99,37.92,14,1780,224,764,226,90243,1
-121.93,37.89,13,2085,292,852,264,73445,1
-121.92,37.96,14,5332,884,2093,839,52798,1
-121.94,37.95,18,2541,355,986,346,71978,1
-121.91,37.93,13,1610,198,703,217,87059,1
-121.94,37.94,26,1299,174,533,180,62296,1
-121.94,37.93,16,3421,427,1341,428,75695,1
-121.93,37.93,16,2876,391,1089,377,62990,1
-121.93,37.93,16,2169,262,877,245,66049,1
-121.95,37.94,27,1469,216,578,219,59346,1
-122.25,38.02,16,1803,267,946,266,57001,1
-122.25,38.03,15,3338,532,1834,520,56293,0
-122.21,38.02,15,2150,327,1094,324,60224,0
-122.2,37.96,9,6306,962,2581,911,67741,1
-122.23,38.06,52,1350,266,490,257,31250,0
-122.23,38.05,52,1736,358,638,297,25517,0
-122.21,38.06,52,2735,559,1076,487,36154,0
-122.2,38.04,31,3029,500,1236,487,56022,0
-122.26,38.03,25,2239,361,928,353,44474,1
-122.27,38.04,47,1685,405,835,372,23103,0
-122.26,38.03,41,1631,282,752,288,39345,0
-122.26,38.04,41,2512,539,1179,480,26940,0
-122.25,38.05,30,1255,297,779,307,16767,0
-122.32,38.06,4,7999,1611,3596,1396,50969,0
-122.28,38,26,2335,413,980,417,34471,0
-122.29,38,16,4986,1081,2805,1016,40250,0
-122.36,38.03,32,2159,393,981,369,43173,0
-122.3,38,34,1712,317,956,341,44394,0
-122.31,38,26,3735,641,1708,633,46210,0
-122.31,38.01,18,4123,874,1895,772,32759,0
-122.28,37.99,28,3801,622,1654,571,43750,0
-122.26,37.98,28,2038,329,947,349,51178,0
-122.27,37.99,16,4921,737,2312,725,58899,1
-122.27,37.98,23,3455,479,1375,474,60289,1
-122.26,38.02,5,3846,786,2053,716,50473,0
-122.24,38.01,11,3751,565,1949,555,57862,1
-122.24,38.01,16,2084,315,1154,307,60102,1
-122.25,38,16,2978,411,1531,400,65006,1
-122.26,38,14,2338,391,1003,398,42269,0
-122.26,38,6,678,104,318,91,52375,1
-122.27,38,15,1216,166,572,178,58418,1
-122.27,38,12,1592,242,969,233,61576,1
-122.26,38,5,6265,908,3326,872,62073,1
-122.29,37.98,27,2133,347,850,350,51046,1
-122.28,37.96,35,1579,243,734,264,55000,1
-122.27,37.97,10,15259,2275,7266,2338,60666,1
-122.3,37.97,30,4030,772,1777,718,36393,0
-122.3,37.97,34,2854,528,1211,452,35353,0
-122.29,37.97,20,3426,632,1512,580,44911,1
-122.3,37.97,35,1811,377,911,340,33750,0
-122.29,37.94,20,7578,1426,3637,1362,44387,0
-122.32,37.95,37,1887,353,895,359,44500,0
-122.31,37.94,38,1794,349,810,335,38343,0
-122.31,37.94,38,2172,403,945,384,43958,0
-122.32,37.95,36,1425,245,573,239,43500,0
-122.31,37.99,25,6508,1137,3259,1081,42348,0
-122.3,37.98,25,3807,806,1821,792,36518,0
-122.32,37.97,29,2347,464,1135,490,39722,0
-122.32,38.01,26,3054,492,1495,496,46944,0
-122.33,38,35,3779,711,2493,679,29781,0
-122.31,38,29,3108,534,1687,516,43333,0
-122.32,37.99,24,4865,968,2315,893,42852,0
-122.32,38,32,2275,397,1233,418,40437,0
-122.34,37.99,42,1531,326,1271,377,26167,0
-122.33,37.98,3,2850,544,1024,515,60115,0
-122.33,37.99,4,3999,1079,1591,887,39110,0
-122.39,38,33,44,6,23,11,41250,1
-122.36,37.96,39,246,57,316,52,7160,0
-122.36,37.96,31,1157,276,956,232,15347,0
-122.36,37.95,40,408,102,302,81,18333,0
-122.37,37.95,35,215,45,100,34,16023,0
-122.37,37.95,32,1298,363,716,268,9797,0
-122.37,37.96,37,1572,402,1046,350,7403,0
-122.41,37.98,36,60,15,42,25,14583,0
-122.34,37.98,33,2014,410,1354,427,39773,0
-122.35,37.98,34,3756,726,2237,686,37562,0
-122.34,37.97,19,392,109,287,81,60426,0
-122.35,37.96,32,1991,504,1139,423,20353,0
-122.35,37.97,43,2178,482,1545,471,25863,0
-122.35,37.97,31,2892,685,2104,641,32188,0
-122.32,37.97,33,1595,292,991,300,46937,0
-122.32,37.97,33,1156,190,643,209,45000,0
-122.33,37.97,19,5151,1335,2548,1165,33125,0
-122.33,37.98,32,1967,348,1144,364,44135,0
-122.33,37.97,45,1982,376,1179,398,35463,0
-122.34,37.97,19,2237,580,1438,551,23382,0
-122.33,37.96,46,1222,236,819,251,39118,0
-122.35,37.96,36,2191,531,1563,524,25164,0
-122.35,37.96,29,1899,524,1357,443,18750,0
-122.35,37.96,35,1326,346,1023,295,20724,0
-122.35,37.95,31,2449,595,1801,548,26328,0
-122.35,37.96,34,1428,335,1272,319,25461,0
-122.36,37.96,30,950,317,1073,280,18664,0
-122.32,37.96,25,1728,403,934,412,33750,0
-122.32,37.96,34,2070,357,784,294,40417,0
-122.32,37.95,35,1612,354,887,331,25769,0
-122.33,37.95,22,2099,569,1135,509,21915,0
-122.34,37.96,15,6487,1717,3408,1560,21991,0
-122.34,37.96,33,1817,441,1220,389,25382,0
-122.32,37.94,38,2751,522,1390,489,37277,0
-122.32,37.94,46,1901,295,833,352,55196,1
-122.32,37.93,40,1141,213,434,196,39464,0
-122.33,37.95,42,1627,336,848,316,37708,0
-122.33,37.94,45,1226,279,590,260,28833,0
-122.33,37.94,47,1882,361,797,342,35848,0
-122.33,37.94,43,1876,389,807,377,31571,0
-122.33,37.94,42,1695,345,719,334,39417,0
-122.33,37.94,44,1769,332,828,309,40526,0
-122.34,37.95,45,1128,240,702,270,36719,0
-122.33,37.95,45,1585,329,981,373,30313,0
-122.33,37.95,46,1543,339,777,322,40927,0
-122.34,37.95,44,1675,317,806,311,30694,0
-122.34,37.95,44,1788,368,933,329,28750,0
-122.34,37.95,39,1986,427,1041,385,32333,0
-122.34,37.95,38,1340,298,766,241,32833,0
-122.35,37.95,45,2142,431,1318,431,30737,0
-122.35,37.95,42,1485,290,971,303,36094,0
-122.36,37.95,38,1042,289,773,248,27714,0
-122.34,37.94,47,2313,433,947,430,39420,0
-122.34,37.94,44,1917,444,936,435,27391,0
-122.34,37.94,31,1611,455,786,411,16810,0
-122.34,37.94,42,2206,451,989,444,31250,0
-122.35,37.94,45,2112,493,1406,452,23456,0
-122.35,37.94,34,1880,459,1358,422,16571,0
-122.35,37.94,47,1275,275,844,273,28967,0
-122.36,37.95,38,1066,248,729,286,15139,0
-122.36,37.94,45,907,188,479,161,30862,0
-122.36,37.94,27,844,249,583,265,9687,0
-122.36,37.94,26,1540,343,1007,338,13365,0
-122.36,37.94,41,2591,585,1638,462,18220,0
-122.37,37.94,49,969,229,599,195,13167,0
-122.35,37.93,19,1334,366,1048,316,17865,0
-122.35,37.93,28,1995,488,1182,439,23352,0
-122.36,37.94,43,369,107,371,111,16000,0
-122.36,37.93,17,1258,254,885,229,30500,0
-122.37,37.94,40,1064,266,912,239,10521,0
-122.37,37.93,45,3150,756,1798,749,17500,0
-122.38,37.91,18,3507,711,1224,676,50524,1
-122.42,37.93,47,3453,779,1353,728,40160,1
-122.41,37.94,52,154,33,89,38,32875,1
-122.34,37.93,30,2515,481,1327,428,21287,0
-122.35,37.93,39,2002,416,1166,395,17257,0
-122.36,37.93,44,1891,449,1047,432,17727,0
-122.36,37.93,42,1796,389,1107,372,19375,0
-122.37,37.93,37,709,190,644,174,8641,0
-122.33,37.91,36,1954,513,1437,440,11250,0
-122.35,37.92,36,921,200,585,236,19224,0
-122.36,37.92,52,215,41,126,43,13929,0
-122.35,37.91,4,2851,798,1285,712,42895,0
-122.33,37.93,34,2326,471,1356,441,23475,0
-122.33,37.93,27,2158,424,1220,442,30156,0
-122.34,37.93,32,2389,652,1672,584,14423,0
-122.34,37.93,45,2225,486,1304,459,26400,0
-122.35,37.93,41,268,75,198,82,32222,0
-122.32,37.92,29,2304,399,1377,454,50187,0
-122.33,37.92,26,3887,779,2512,740,22301,0
-122.32,37.92,28,4649,977,2606,953,32674,0
-122.32,37.91,34,2669,647,1341,555,26399,0
-122.31,37.91,39,2955,696,1417,682,27628,0
-122.31,37.91,43,2549,511,1060,528,36417,0
-122.31,37.91,45,3924,834,1992,773,41146,0
-122.31,37.93,39,2505,371,872,345,53433,1
-122.31,37.93,36,2403,408,917,404,50399,1
-122.32,37.93,40,3056,489,1103,481,51067,1
-122.32,37.94,47,1911,283,697,275,62712,1
-122.3,37.92,32,3943,605,1524,614,60677,1
-122.29,37.92,35,583,88,235,84,59430,1
-122.29,37.92,32,1736,234,602,231,65160,1
-122.3,37.93,34,2254,357,715,306,45000,1
-122.31,37.93,36,1526,256,696,263,35089,1
-122.32,37.93,33,296,73,216,63,26750,0
-122.31,37.92,30,1014,236,537,204,28456,0
-122.31,37.92,38,1250,236,631,279,37240,1
-122.31,37.92,12,1895,600,983,519,25000,0
-122.32,37.92,22,1119,220,565,199,33594,0
-122.31,37.92,43,2116,407,900,361,41587,1
-122.3,37.92,33,1615,271,710,285,40804,1
-122.31,37.91,31,1432,348,681,348,27243,1
-122.3,37.91,39,2686,569,1159,559,29441,1
-122.3,37.91,40,2866,617,1305,589,36321,1
-122.3,37.9,37,2125,489,912,462,29219,1
-122.3,37.9,41,2053,435,873,415,34091,1
-122.3,37.9,35,1102,308,688,303,23946,0
-122.3,37.9,30,1772,471,880,437,22672,0
-122.29,37.92,36,1450,235,568,234,60000,1
-122.29,37.91,38,2591,424,905,378,51691,1
-122.29,37.91,46,2085,346,748,354,40536,1
-122.29,37.91,40,2085,329,796,339,55357,1
-122.29,37.9,52,2657,500,1131,489,44286,1
-122.28,37.91,38,2501,348,805,329,65576,1
-122.28,37.9,49,3191,516,1148,507,63538,1
-122.28,37.9,52,1369,249,490,248,41212,1
-122.28,37.91,41,3009,482,1053,490,58280,1
-122.27,37.91,47,1930,315,692,296,63669,1
-122.28,37.91,48,2083,298,685,286,73089,1
-124.17,41.8,16,2739,480,1259,436,37557,0
-124.3,41.8,19,2672,552,1298,478,19797,0
-124.23,41.75,11,3159,616,1343,479,24805,0
-124.21,41.77,17,3461,722,1947,647,25795,0
-124.19,41.78,15,3140,714,1645,640,16654,0
-124.22,41.73,28,3003,699,1530,653,17038,0
-124.21,41.75,20,3810,787,1993,721,20074,0
-124.17,41.76,20,2673,538,1282,514,24605,0
-124.16,41.74,15,2715,569,1532,530,21829,0
-124.14,41.95,21,2696,578,1208,494,22750,0
-124.16,41.92,19,1668,324,841,283,21336,0
-124.3,41.84,17,2677,531,1244,456,30313,0
-124.15,41.81,17,3276,628,3546,585,22868,0
-123.91,41.68,22,1880,360,743,314,29688,0
-123.83,41.88,18,1504,357,660,258,31300,0
-123.92,41.54,22,2920,636,1382,499,20202,0
-119.94,38.96,20,1451,386,467,255,15536,1
-119.95,38.95,8,430,107,36,18,26250,0
-119.95,38.95,22,1058,352,851,269,20200,0
-119.95,38.95,21,2046,580,952,353,17245,0
-119.94,38.95,25,1789,536,1134,396,23200,0
-119.95,38.94,24,2180,517,755,223,25875,0
-119.93,38.94,27,1709,408,97,44,24917,0
-119.97,38.94,26,1485,334,406,180,19667,0
-119.97,38.93,24,856,185,388,108,31806,0
-119.98,38.96,25,2443,444,868,342,35417,0
-119.96,38.94,19,1429,292,585,188,22589,0
-119.96,38.94,27,1492,393,717,254,18906,0
-119.96,38.93,22,2731,632,1215,483,28300,0
-119.94,38.92,24,1258,216,235,96,46000,0
-119.98,38.94,25,1339,328,503,219,19018,0
-119.98,38.94,23,1564,298,339,147,40417,0
-119.99,38.94,24,1216,289,421,185,31625,0
-119.99,38.94,22,3119,640,786,351,30806,0
-119.99,38.93,23,1882,414,673,277,29091,0
-119.98,38.93,28,1194,272,494,203,23281,0
-119.98,38.93,25,1262,293,534,226,26607,0
-119.98,38.92,27,2682,606,1010,399,31500,0
-119.98,38.92,28,1408,312,522,221,20708,0
-120,38.93,17,8005,1382,999,383,39722,1
-120.01,38.93,22,3080,610,1045,425,29960,0
-120,38.92,17,1106,207,466,180,33295,0
-120,38.92,26,529,116,191,83,35000,0
-120.01,38.92,23,964,246,485,198,17188,0
-120.01,38.92,25,1758,357,689,278,26750,0
-120.02,38.91,22,2138,493,829,330,22056,0
-120.02,38.92,24,1194,246,414,151,32396,0
-120.01,38.91,27,968,191,283,143,20938,0
-120.01,38.91,17,2732,609,1005,499,19851,0
-120.01,38.89,24,1669,422,589,281,30089,0
-120,38.9,21,1653,419,737,308,19727,0
-119.99,38.88,17,2807,529,675,251,27457,0
-119.98,38.9,16,3109,572,885,334,35000,0
-119.92,38.91,15,3831,625,984,328,50718,0
-120,38.87,12,1437,268,395,144,42250,0
-119.96,38.84,17,2722,512,828,289,35714,0
-120.02,38.76,15,3142,618,725,285,43333,0
-120.04,38.86,16,2708,481,712,261,37891,0
-120.03,38.89,15,3042,588,918,336,38333,0
-120.02,38.86,19,2429,459,883,300,30170,0
-120.13,39.06,22,2465,539,381,146,28750,0
-120.16,39.04,18,2040,402,350,129,40313,0
-120.16,39.01,16,1463,264,54,26,49750,1
-120.06,39.01,19,2967,528,112,48,40714,1
-120.1,38.91,33,1561,282,30,11,18750,1
-120.97,38.91,7,4341,716,1978,682,48311,0
-121.04,38.81,11,3522,623,1456,544,39300,0
-120.72,38.94,10,1604,352,540,190,37625,0
-120.88,38.91,15,3876,778,1960,691,29020,0
-120.92,38.86,11,1720,345,850,326,32027,0
-120.87,38.83,12,2180,423,1070,377,28562,0
-120.84,38.81,11,1280,286,609,248,31635,0
-120.81,38.89,17,1438,324,675,268,29444,0
-120.79,38.83,15,1374,291,709,239,17222,0
-120.71,38.85,8,1877,479,884,323,34688,0
-120.5,38.87,10,81,41,55,16,49583,0
-120.3,38.9,11,1961,435,113,53,9227,0
-121.09,38.68,15,5218,711,1949,659,47083,1
-121.08,38.67,10,2499,331,1040,333,68440,1
-121.07,38.66,22,1831,274,813,269,46394,0
-121.06,38.7,9,13255,1739,5001,1627,63140,1
-121,38.58,12,3425,549,1357,451,53344,1
-121.01,38.73,7,6322,1046,2957,1024,47276,0
-120.99,38.69,5,5743,1074,2651,962,41163,0
-121.02,38.66,4,7392,1155,3096,1065,45246,0
-120.99,38.67,8,4913,744,2005,723,54413,0
-120.98,38.67,13,3432,516,1286,470,55840,0
-120.98,38.66,9,2073,404,916,373,32250,0
-120.98,38.68,5,4810,909,2242,900,32964,0
-120.95,38.69,10,3421,563,1689,545,52032,1
-120.96,38.66,11,2339,436,1062,380,39036,0
-120.97,38.65,9,3707,602,1601,555,40714,1
-120.93,38.65,12,2213,384,1097,351,45568,0
-120.91,38.62,12,4545,748,2033,718,41843,1
-120.95,38.79,12,3247,579,1459,517,43981,1
-120.93,38.77,9,2229,355,788,341,55111,0
-120.91,38.73,11,5460,859,2645,838,48350,1
-120.87,38.71,13,2692,470,1302,420,40000,0
-120.84,38.77,11,1013,188,410,158,48250,0
-120.86,38.75,15,1533,300,674,287,25625,0
-120.83,38.74,17,3685,775,1714,734,22269,0
-120.84,38.73,17,2616,492,1158,457,28807,0
-120.81,38.73,38,2005,385,882,353,25104,0
-120.78,38.74,28,4236,877,2008,881,21603,0
-120.81,38.74,29,2259,482,1099,463,23314,0
-120.76,38.76,21,3509,606,1576,564,26392,0
-120.76,38.73,17,512,129,314,140,15625,0
-120.78,38.73,31,3117,616,1606,588,29844,0
-120.81,38.73,42,1276,260,799,259,27273,0
-120.78,38.72,19,4414,767,1865,699,36406,0
-120.67,38.76,35,2104,403,1060,400,21682,0
-120.7,38.75,19,2325,430,967,376,29000,0
-120.71,38.73,17,2146,396,862,351,29219,0
-120.58,38.77,15,2155,394,857,356,40300,0
-120.58,38.77,21,1661,406,789,319,23583,0
-120.6,38.76,22,1236,273,615,248,30217,0
-120.59,38.76,21,1728,417,731,334,17266,0
-120.63,38.75,17,3145,621,1432,559,27201,0
-120.7,38.69,13,4492,821,2093,734,40709,0
-120.63,38.73,11,4577,836,1944,700,40675,0
-120.62,38.71,10,6305,1150,2597,921,40197,0
-120.63,38.68,14,1821,316,769,266,30789,0
-120.54,38.75,9,3006,540,1102,418,39812,0
-120.76,38.6,14,2925,625,1226,437,25865,0
-120.66,38.61,19,2715,596,1301,473,25042,0
-120.72,38.57,8,892,185,427,164,26833,0
-120.59,38.53,15,432,87,208,73,36125,0
-120.44,38.61,9,2598,548,796,297,35192,0
-120.32,38.71,13,1115,255,86,32,35667,0
-120.08,38.8,34,1988,511,36,15,46250,0
-120.88,38.58,8,3417,604,1703,623,40827,0
-120.84,38.63,12,1313,231,731,232,57373,1
-120.81,38.67,14,8396,1578,3952,1474,30565,0
-120.76,38.65,17,2319,430,1126,372,35511,0
-120.85,38.69,18,5928,1097,2697,1096,34872,0
-120.79,38.7,13,5036,1034,2243,923,23319,0
-119.81,36.73,51,956,196,662,180,21010,0
-119.81,36.73,47,1314,416,1155,326,13720,0
-119.81,36.74,36,607,155,483,146,15625,0
-119.79,36.73,52,112,28,193,40,19750,0
-119.8,36.73,45,925,231,797,228,17011,0
-119.8,36.72,43,1286,360,972,345,9513,0
-119.81,36.72,46,1414,268,902,243,15833,0
-119.81,36.73,50,772,194,606,167,22206,0
-119.77,36.73,44,1960,393,1286,381,21518,0
-119.77,36.72,43,1763,389,1623,390,14427,0
-119.78,36.73,52,1377,319,1280,259,12344,0
-119.77,36.73,45,1081,241,821,230,17829,0
